id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children	log2fc_NS_over_WS	p	corrected_p
GO:0008610	lipid biosynthetic process	biological_process	26.450717961977286	26.581310584672273	26.956882990522875	26.76247662553975	25.570275424869237	26.295441663714627	26.50247900629589	26.64612815731381	27.0	29.0	34.0	38.0	34.0	30.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.13059262269498717	0.6299583414070128	0.727232374886599
GO:0008652	cellular amino acid biosynthetic process	biological_process	25.351210327644385	27.109872561715303	25.39602001032083	26.789974319897713	24.869759476951533	27.011516935034734	25.675670671909266	27.448755093072318	36.0	48.0	56.0	59.0	30.0	48.0	5.0	5.0	6.0	6.0	6.0	5.0	-1.7586622340709184	0.004410509998267881	0.025178911490942507
GO:0008654	phospholipid biosynthetic process	biological_process	25.16778837308948	24.88988927605105	25.76615034645718	25.258248236986127	24.119866529463593	24.448676184464922	25.171158933377924	24.849809719476923	11.0	10.0	11.0	14.0	13.0	11.0	3.0	3.0	3.0	3.0	3.0	3.0	0.2778990970384285	0.7707795579025603	0.8388696248550833
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	molecular_function	20.41932951890585	21.841276854074348	19.893605517655352	22.48824016153553	20.68135361951963	20.934265968034914	20.564980388552137	21.6906234385202	2.0	4.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	2.0	3.0	-1.4219473351684968	0.060707122566439696	0.11251771176733384
GO:0008774	acetaldehyde dehydrogenase (acetylating) activity	molecular_function	20.274466850495727	23.075608611363677	19.931895165967198	23.621998892748913	20.85031169515997	23.415901043743744	19.80216909067131	21.205536636620387	3.0	3.0	4.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-2.8011417608679494	0.03854353099912985	0.08065031701084675
GO:0008776	acetate kinase activity	molecular_function	23.71178690711616	22.432356362601197	24.874301614793204	18.192531107551925	20.749510232966106	21.656591235943257	23.05255593134325	23.672971857896986	4.0	2.0	3.0	3.0	4.0	3.0	NA	NA	NA	NA	NA	NA	1.2794305445149625	0.43797741002426704	0.5439396866430413
GO:0008797	aspartate ammonia-lyase activity	molecular_function	23.73085261645509	22.28265610009479	23.795205652807496	21.98958091957301	23.48505729883881	20.857802270679308	23.88275468777796	23.13974723371519	4.0	4.0	2.0	2.0	3.0	3.0	NA	NA	NA	NA	NA	NA	1.448196516360298	0.061573974707622436	0.1132225922981953
GO:0008804	carbamate kinase activity	molecular_function	21.839177842472974	21.585097802524395	22.166696978509464	22.046549126515107	22.149862200352626	21.01989199731861	20.853105762977894	21.50686120924841	4.0	3.0	4.0	4.0	3.0	4.0	NA	NA	NA	NA	NA	NA	0.25408003994857964	0.7249380644459207	0.8002900496392242
GO:0008861	formate C-acetyltransferase activity	molecular_function	23.868818442805313	22.738651482726816	22.288352493215186	23.180958457238088	24.901331513647733	22.642355660420304	23.17925561998563	22.23596842486485	6.0	6.0	4.0	7.0	6.0	5.0	NA	NA	NA	NA	NA	NA	1.1301669600784976	0.39795416367159253	0.5064871174002087
GO:0008959	phosphate acetyltransferase activity	molecular_function	21.824283971835452	24.07622078644917	21.21510625669889	23.792858773745326	22.16000108516819	24.48458904760915	21.938551306057335	23.843692783292408	4.0	5.0	5.0	5.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-2.2519368146137175	0.003300829260238946	0.02395052779202238
GO:0008973	phosphopentomutase activity	molecular_function	21.153065876057568	22.190991820450268	20.479159502250255	21.468821356305725	21.61363063552619	23.284917127144407	21.14889394988192	20.24354715716529	1.0	2.0	3.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-1.0379259443927005	0.5684267260592795	0.6707870943534793
GO:0009055	electron transfer activity	molecular_function	25.86063537283789	24.360783269649804	26.22100478250457	22.748490246239466	24.64638101466372	25.16886009639708	26.222683997034718	24.24369394288904	8.0	6.0	12.0	13.0	11.0	6.0	NA	NA	NA	NA	NA	NA	1.4998521031880863	0.13502624868834337	0.21773866280633383
GO:0009056	catabolic process	biological_process	31.417313961362172	31.99164758696899	31.464581445867253	31.650998444034762	30.89476560231281	32.558824633368445	31.76277047050302	31.53502959092844	517.0	427.0	685.0	699.0	673.0	395.0	3.0	3.0	3.0	3.0	3.0	3.0	-0.574333625606819	0.2593034059108918	0.3630247682752485
GO:0009057	macromolecule catabolic process	biological_process	22.871526590851985	23.68535808504961	22.33440048718261	23.689275420170087	22.93690638805016	24.17528715791196	23.210090546754326	22.931231414806994	8.0	10.0	12.0	13.0	9.0	9.0	4.0	4.0	3.0	4.0	2.0	4.0	-0.8138314941976255	0.15794463008388857	0.2444570154062195
GO:0009058	biosynthetic process	biological_process	33.39289766776951	34.86167354587625	33.26703992839617	34.71630775638502	33.19952335320433	35.13749603072621	33.6666918207003	34.68569314229964	3005.0	3740.0	3993.0	4376.0	4049.0	3636.0	4.0	4.0	4.0	4.0	4.0	4.0	-1.4687758781067402	0.0020518101500445695	0.022983633806058907
GO:0009059	macromolecule biosynthetic process	biological_process	28.873241688673954	29.618649658631483	28.868932084010392	29.344220256965905	28.726290453180304	29.838615337201535	29.01051658731814	29.630884876874727	185.0	205.0	226.0	242.0	220.0	204.0	5.0	3.0	5.0	5.0	5.0	3.0	-0.7454079699575296	0.011189952501745202	0.04301923267523727
GO:0009063	cellular amino acid catabolic process	biological_process	28.17146330293813	27.392143993066913	28.390055135697214	26.445737502646953	27.446576401678985	28.409813942615628	28.471713853054165	26.260610212371894	50.0	31.0	64.0	64.0	63.0	28.0	3.0	2.0	3.0	3.0	3.0	2.0	0.7793193098712159	0.23522885504775787	0.3362551212480134
GO:0009064	glutamine family amino acid metabolic process	biological_process	27.68134979777719	27.74336843803893	27.7429355703862	27.365175464749605	27.06768056784595	28.26822550643725	28.06302667211443	27.40659150217745	47.0	41.0	55.0	57.0	54.0	41.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.06201864026174064	0.9002994137976634	0.9212366094673765
GO:0009066	aspartate family amino acid metabolic process	biological_process	27.47005390971841	25.73798629932197	27.662976764218683	24.830042860033075	26.689270073190368	26.264564845833675	27.820406675376788	25.775785792872657	26.0	24.0	34.0	36.0	23.0	23.0	6.0	6.0	6.0	6.0	6.0	6.0	1.732067610396438	0.03246761957506597	0.0706715676969634
GO:0009067	aspartate family amino acid biosynthetic process	biological_process	21.13569864331365	23.99523874122895	20.632043022321426	23.571555857146244	21.62619541420257	23.753496717363962	20.96717725304305	24.489661982437585	4.0	9.0	9.0	10.0	3.0	9.0	2.0	3.0	3.0	3.0	2.0	3.0	-2.8595400979153	0.002113165564095164	0.022983633806058907
GO:0009069	serine family amino acid metabolic process	biological_process	22.67245251436192	24.477637335530172	22.47552223688795	24.3507228263675	22.707552058466806	24.435666310281054	22.81384294608762	24.63194191256863	14.0	15.0	10.0	14.0	12.0	14.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.8051848211682504	0.00015550377724319383	0.022983633806058907
GO:0009070	serine family amino acid biosynthetic process	biological_process	21.167816177686838	22.934307562201518	20.962083827914	22.80713744924591	21.29159543999255	22.88564255845836	21.228992639054326	23.094638826987552	5.0	5.0	4.0	5.0	4.0	5.0	3.0	3.0	3.0	3.0	2.0	2.0	-1.76649138451468	0.00018254156983598137	0.022983633806058907
GO:0009072	aromatic amino acid family metabolic process	biological_process	27.15852817327137	26.596680602139955	27.50300893831503	24.85145447889409	26.45968934950489	27.908248191814213	27.314585870392552	24.40964302488777	33.0	24.0	50.0	50.0	48.0	21.0	3.0	3.0	4.0	4.0	4.0	3.0	0.5618475711314161	0.2980949816589278	0.4040912587301591
GO:0009081	branched-chain amino acid metabolic process	biological_process	24.208838637074464	26.301560146748265	24.1267046649418	26.068734349055664	23.909746904561025	26.111872525191608	24.522173619652534	26.64892870322149	16.0	20.0	26.0	26.0	14.0	20.0	4.0	4.0	4.0	4.0	4.0	4.0	-2.092721509673801	0.0012762731444687855	0.022983633806058907
GO:0009082	branched-chain amino acid biosynthetic process	biological_process	23.208838637074464	25.301560146748265	23.1267046649418	25.068734349055664	22.909746904561025	25.111872525191608	23.522173619652534	25.64892870322149	8.0	10.0	13.0	13.0	7.0	10.0	3.0	3.0	3.0	3.0	3.0	3.0	-2.092721509673801	0.0012762731444687855	0.022983633806058907
GO:0009084	glutamine family amino acid biosynthetic process	biological_process	23.840886185458828	24.26159094498129	24.18453332100213	23.74332288559786	21.985736461504093	24.48596961237112	24.3815439222602	24.44239631449501	4.0	4.0	5.0	5.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.42070475952246156	0.4294554561432962	0.5376921971225009
GO:0009097	isoleucine biosynthetic process	biological_process	22.024301014328127	24.330332501165234	21.85279463761199	24.09787028972599	21.962195457521567	24.09373962236124	22.23121897336215	24.70892364542621	4.0	6.0	7.0	7.0	3.0	6.0	NA	NA	NA	NA	NA	NA	-2.3060314868371066	0.0006089239903523537	0.022983633806058907
GO:0009099	valine biosynthetic process	biological_process	21.787235501030626	24.17277980356348	21.620359789673845	23.962516055484684	21.370032516905564	23.967980052893964	22.23121897336215	24.51529096471373	3.0	3.0	4.0	4.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-2.3855443025328533	0.0015672769834343897	0.022983633806058907
GO:0009108	coenzyme biosynthetic process	biological_process	27.57663684225492	29.065200093544803	27.38149597116171	28.886581467171602	27.44554615524168	29.37415157065649	27.855658233055312	28.876908484808375	34.0	40.0	44.0	49.0	45.0	38.0	4.0	5.0	5.0	5.0	5.0	4.0	-1.4885632512898823	0.002570946884762855	0.022983633806058907
GO:0009112	nucleobase metabolic process	biological_process	25.85745403353117	23.72337084075921	26.29859823047328	21.653900183746668	25.76676775369605	25.00848944299309	25.3495500381328	22.100693357849888	8.0	7.0	8.0	15.0	15.0	7.0	2.0	3.0	2.0	3.0	3.0	3.0	2.1340831927719606	0.056787232899374825	0.10763364758773812
GO:0009116	nucleoside metabolic process	biological_process	25.688965364909	27.521020652692822	25.130064201426286	27.452636752057643	25.9341629265314	27.91305268034277	25.872834141024388	27.074978515786515	60.0	104.0	103.0	105.0	95.0	100.0	5.0	5.0	5.0	5.0	5.0	4.0	-1.8320552877838239	0.006613233448962729	0.029074260679022697
GO:0009117	nucleotide metabolic process	biological_process	31.3896230538068	33.1522690677791	31.037762307919827	33.03460391717462	31.20577952504003	33.43526679809295	31.80762155885227	32.937361688824446	589.0	751.0	763.0	840.0	810.0	715.0	8.0	8.0	8.0	8.0	8.0	8.0	-1.7626460139723008	0.00306203056526517	0.022983633806058907
GO:0009119	ribonucleoside metabolic process	biological_process	23.94598534068545	26.029406538486185	22.762771882733265	25.959146766527986	24.37594007161742	26.432778934964517	24.223897707486728	25.56533518605917	21.0	38.0	35.0	36.0	32.0	36.0	3.0	3.0	3.0	3.0	3.0	3.0	-2.0834211978007353	0.018426482641007758	0.050003142320972596
GO:0009123	nucleoside monophosphate metabolic process	biological_process	26.296083588083054	26.73128051811001	26.37783092689952	26.49969791535621	25.553718361206652	27.199034270429625	26.72255490545051	26.34546332622884	62.0	74.0	96.0	96.0	104.0	74.0	4.0	4.0	4.0	4.0	4.0	4.0	-0.43519693002695803	0.3467842828680404	0.4515095535010485
GO:0009124	nucleoside monophosphate biosynthetic process	biological_process	24.517719015593638	24.805632515556997	24.738216990952946	24.594617645655042	23.68662985543916	25.268311974860634	24.865678952432237	24.405848570203386	17.0	19.0	26.0	26.0	28.0	19.0	3.0	3.0	3.0	3.0	3.0	3.0	-0.28791349996335924	0.5142133361065688	0.6162556712872498
GO:0009126	purine nucleoside monophosphate metabolic process	biological_process	24.341986581322203	25.140514559247432	24.368614346445174	24.934849418848987	23.95783564992	25.55629850525052	24.623111309560148	24.816489093764034	18.0	24.0	30.0	27.0	30.0	24.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.7985279779252288	0.05897504863928397	0.11008675746000476
GO:0009129	pyrimidine nucleoside monophosphate metabolic process	biological_process	22.102375497033872	21.29979767582703	20.74679372602234	20.055536487223808	18.586332970267343	22.41533283105271	23.4368361464814	20.017437226620054	3.0	3.0	3.0	6.0	6.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	0.8025778212068424	0.9563391667427765	0.9578941897781307
GO:0009132	nucleoside diphosphate metabolic process	biological_process	28.651814838637446	30.49449085157217	28.07703604532738	30.362231162727927	28.534102602664852	30.80172988313127	29.144399034061397	30.26046901769507	57.0	72.0	72.0	78.0	75.0	69.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.8426760129347244	0.005752572033286291	0.027472479976469594
GO:0009141	nucleoside triphosphate metabolic process	biological_process	30.52725680058481	32.38675001049149	30.05627140548801	32.30839410404566	30.404623298452826	32.65486270489835	30.970883485095435	32.14996128145573	310.0	408.0	384.0	436.0	410.0	374.0	4.0	4.0	4.0	4.0	4.0	4.0	-1.859493209906681	0.0034385529664436717	0.02412962390835918
GO:0009142	nucleoside triphosphate biosynthetic process	biological_process	28.237966281893158	30.10116712049738	27.789047965544967	30.03434693412847	28.11423778467472	30.360571529344522	28.67049334477755	29.86377200222024	68.0	90.0	84.0	96.0	90.0	82.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.8632008386042216	0.0030480501575804444	0.022983633806058907
GO:0009144	purine nucleoside triphosphate metabolic process	biological_process	29.175127261463288	31.04106578649407	28.698172488603845	30.952860628655525	29.04800710808352	31.315139018060478	29.62492627688896	30.806754330059576	106.0	141.0	138.0	152.0	142.0	134.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.8659385250307814	0.003564603531916697	0.02412962390835918
GO:0009147	pyrimidine nucleoside triphosphate metabolic process	biological_process	23.146082059355784	24.414243657399265	22.684883301037363	24.887384335109054	23.305240581413866	24.259331847285107	23.356448360149503	23.927602315018028	15.0	18.0	12.0	18.0	18.0	12.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.2681615980434806	0.024816042636020122	0.06114672905515358
GO:0009150	purine ribonucleotide metabolic process	biological_process	29.313104310118675	31.06150272321669	29.00342774445066	30.938946624099298	29.117260389384608	31.34052962044301	29.71376829776119	30.857377817839517	132.0	160.0	168.0	179.0	176.0	154.0	8.0	9.0	8.0	9.0	9.0	8.0	-1.7483984130980161	0.002667418264121821	0.022983633806058907
GO:0009152	purine ribonucleotide biosynthetic process	biological_process	27.421190006135785	29.158856463740932	27.205545987329568	29.054210028116245	27.18114085409948	29.424004097394075	27.790932169853374	28.954969315536733	42.0	52.0	55.0	58.0	57.0	50.0	6.0	6.0	6.0	6.0	6.0	5.0	-1.7376664576051475	0.0020284531593871445	0.022983633806058907
GO:0009156	ribonucleoside monophosphate biosynthetic process	biological_process	23.87927915161271	23.943742829040684	24.2663759877145	23.76755481799148	22.92054462957139	24.39762120747725	24.115291478913388	23.519527734173174	10.0	10.0	15.0	15.0	16.0	10.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.06446367742797321	0.8111186031005557	0.8539713715394799
GO:0009161	ribonucleoside monophosphate metabolic process	biological_process	24.958769754552932	25.341455187395702	25.09318373991189	25.116999212066588	24.184358819392962	25.807460919732303	25.356820007492786	24.95083636451023	24.0	28.0	37.0	37.0	40.0	28.0	3.0	3.0	3.0	3.0	3.0	3.0	-0.38268543284277	0.4018301367970605	0.5103656995195655
GO:0009163	nucleoside biosynthetic process	biological_process	23.01820343822409	25.27153074795698	21.78593770977324	25.14879309957997	23.558462528278014	25.628091534675196	23.181854028014325	24.951741356918262	11.0	23.0	24.0	24.0	22.0	24.0	3.0	3.0	3.0	3.0	3.0	3.0	-2.2533273097328888	0.013999145574999419	0.044681210747148405
GO:0009165	nucleotide biosynthetic process	biological_process	28.936813863681664	30.70143841441425	28.616021876019374	30.592702891158986	28.737525343754054	30.978233368745126	29.34649238142636	30.48568942468173	119.0	160.0	161.0	179.0	171.0	153.0	6.0	6.0	6.0	6.0	6.0	6.0	-1.7646245507325844	0.002747933648243125	0.022983633806058907
GO:0009166	nucleotide catabolic process	biological_process	27.09058629821865	28.92316286607173	26.514243553067512	28.786341566813906	26.984434275339762	29.240208411758772	27.576296965938052	28.67967784027515	20.0	26.0	27.0	29.0	28.0	26.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.8325765678530814	0.005957763929432178	0.027472479976469594
GO:0009167	purine ribonucleoside monophosphate metabolic process	biological_process	23.75702408060105	24.555552058526274	23.783651845724023	24.349886918127822	23.372873149198842	24.971336004529363	24.038148808839	24.23152659304287	12.0	16.0	20.0	18.0	20.0	16.0	4.0	4.0	4.0	4.0	4.0	3.0	-0.7985279779252252	0.05897504863928826	0.11008675746000476
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	biological_process	22.75702408060105	23.555552058526274	22.783651845724023	23.349886918127822	22.372873149198842	23.971336004529363	23.038148808839	23.23152659304287	6.0	8.0	10.0	9.0	10.0	8.0	3.0	3.0	3.0	3.0	3.0	2.0	-0.7985279779252252	0.05897504863928826	0.11008675746000476
GO:0009199	ribonucleoside triphosphate metabolic process	biological_process	29.197052625473624	31.055590723151717	28.72033677698019	30.9742432945246	29.074700612222987	31.32594185778893	29.643520283291345	30.81895841565235	121.0	159.0	150.0	170.0	160.0	146.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.8585380976780925	0.0035455316551969555	0.02412962390835918
GO:0009201	ribonucleoside triphosphate biosynthetic process	biological_process	27.237966281893158	29.10116712049738	26.789047965544967	29.03434693412847	27.11423778467471	29.360571529344522	27.67049334477755	28.863772002220244	34.0	45.0	42.0	48.0	45.0	41.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.8632008386042216	0.0030480501575804475	0.022983633806058907
GO:0009205	purine ribonucleoside triphosphate metabolic process	biological_process	28.74845277219861	30.61199142732253	28.26163623107332	30.519335525513323	28.622313077485924	30.889496772034878	29.202757229077786	30.37770963680693	77.0	102.0	100.0	110.0	103.0	97.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.863538655123918	0.0037526401156581395	0.0246048802414875
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	biological_process	27.20948541925817	29.082375070920172	26.76081088549266	29.006943101276878	27.07951239880785	29.34649341888225	27.646111814566922	28.84797796286855	29.0	39.0	38.0	42.0	39.0	37.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.8728896516620033	0.0030633305686440138	0.022983633806058907
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	biological_process	22.561119558634623	23.82928115667811	22.09992080031621	24.3024218343879	22.72027808069271	23.674369346563953	22.771485859428342	23.34263981429687	10.0	12.0	8.0	12.0	12.0	8.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.2681615980434877	0.024816042636019883	0.06114672905515358
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process	biological_process	21.561119558634623	22.82928115667811	21.09992080031621	23.3024218343879	21.7202780806927	22.67436934656395	21.771485859428342	22.34263981429687	5.0	6.0	4.0	6.0	6.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.2681615980434877	0.024816042636019265	0.06114672905515358
GO:0009218	pyrimidine ribonucleotide metabolic process	biological_process	23.139823411088845	24.054972781694442	22.434445346652748	24.376474542029342	22.774046067827925	24.16485761858865	23.82748222754969	23.479845963807072	12.0	15.0	10.0	17.0	17.0	11.0	4.0	4.0	4.0	4.0	4.0	4.0	-0.9151493706055973	0.11694458866107327	0.19210464928756835
GO:0009220	pyrimidine ribonucleotide biosynthetic process	biological_process	22.147941059971647	23.11995121416993	21.434445346652748	23.40033751962783	21.774046067827925	23.2891187260233	22.842565506050292	22.522827211020665	6.0	8.0	5.0	9.0	9.0	6.0	3.0	4.0	3.0	4.0	4.0	4.0	-0.9720101541982835	0.10574613658452088	0.17846471270155118
GO:0009225	nucleotide-sugar metabolic process	biological_process	20.533724379784307	21.53452216225779	18.220219438706554	21.85763787835434	21.03408383953704	21.4680771910178	21.002842364879843	21.20170080020153	2.0	5.0	7.0	5.0	7.0	4.0	2.0	4.0	5.0	4.0	5.0	3.0	-1.0007977824734837	0.20919953048288828	0.3053718264868701
GO:0009236	cobalamin biosynthetic process	biological_process	24.628182702636213	24.97606047659346	25.17532909166411	24.486022128818203	24.853995075114398	26.061054594244148	23.191328326797837	22.390754528939585	6.0	5.0	5.0	6.0	7.0	4.0	NA	NA	NA	NA	NA	NA	-0.34787777395724717	0.9424953391679187	0.9480605148049247
GO:0009259	ribonucleotide metabolic process	biological_process	29.680781008228337	31.416854316467862	29.385702748899774	31.302680555850486	29.473171722941665	31.691680768536767	30.08022647159036	31.209693295798555	192.0	235.0	238.0	263.0	259.0	221.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.7360733082395257	0.002643874240982307	0.022983633806058907
GO:0009260	ribonucleotide biosynthetic process	biological_process	27.458020965060268	29.180633611975665	27.231725034788962	29.082583448830643	27.21474623992558	29.44438944441263	27.836918392940305	28.971580636783003	48.0	60.0	60.0	67.0	66.0	56.0	2.0	2.0	2.0	2.0	2.0	2.0	-1.7226126469153975	0.0022303812274282013	0.022983633806058907
GO:0009262	deoxyribonucleotide metabolic process	biological_process	21.36863560451424	22.322795109632946	20.973632171751348	21.798385652215966	21.723530235558826	23.327676235895577	21.31067374640768	20.57607392069185	2.0	3.0	5.0	5.0	5.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	-0.9541595051187066	0.5312114576687267	0.6317109226330804
GO:0009264	deoxyribonucleotide catabolic process	biological_process	21.153065876057568	22.190991820450268	20.479159502250255	21.468821356305725	21.61363063552619	23.284917127144407	21.14889394988192	20.24354715716529	1.0	2.0	3.0	3.0	3.0	3.0	NA	NA	NA	NA	NA	NA	-1.0379259443927005	0.5684267260592795	0.6707870943534793
GO:0009279	cell outer membrane	cellular_component	25.842738145116385	24.265643072226144	24.73426736110271	22.701864323110666	21.45438251932107	22.594561882727323	27.157994029722506	25.49690228986812	7.0	7.0	3.0	5.0	7.0	7.0	NA	NA	NA	NA	NA	NA	1.5770950728902413	0.6783604794030695	0.7695581129139795
GO:0009308	amine metabolic process	biological_process	25.508657437439336	24.829666205599946	26.50580104207009	24.035119897280985	25.15401717397829	26.045324087597947	23.336582188274626	21.52222051762195	8.0	5.0	8.0	8.0	4.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0	0.6789912318393903	0.5181691882850352	0.6197907184147218
GO:0009311	oligosaccharide metabolic process	biological_process	26.317751117158586	22.95830720191779	27.132091507439746	21.766653445000266	24.25962435729829	24.178656084494392	26.31973837367681	20.851552641932468	6.0	6.0	9.0	12.0	9.0	9.0	2.0	4.0	4.0	4.0	2.0	4.0	3.3594439152407958	0.04993595704056071	0.09827651609260511
GO:0009317	acetyl-CoA carboxylase complex	cellular_component	21.76353820563817	23.208656541945572	21.694946119215203	23.616181653384004	21.53191748907389	23.381067413765397	22.020252157506018	22.33734959921939	2.0	3.0	4.0	4.0	3.0	2.0	NA	NA	NA	NA	NA	NA	-1.4451183363074023	0.03118325339892621	0.06918301724672245
GO:0009360	DNA polymerase III complex	cellular_component	20.179597584829484	22.406618522024523	19.73309084136577	22.49734353841301	19.919298187762106	22.998943707311806	20.696891264907887	21.18034514162381	4.0	4.0	4.0	5.0	3.0	4.0	NA	NA	NA	NA	NA	NA	-2.2270209371950394	0.026877636195336112	0.06367932267818095
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	biological_process	21.537575129397677	21.33894583486238	21.480299217728835	21.37909630621945	21.91612831520506	20.02396076679288	21.100997735478074	21.989571889879127	3.0	3.0	2.0	2.0	4.0	4.0	NA	NA	NA	NA	NA	NA	0.19862929453529787	0.5883900158253605	0.6890651135901561
GO:0009405	pathogenesis	biological_process	25.84696522359461	26.55988775550108	25.697315534324733	26.59229246829315	24.718490462611214	27.11878422516141	26.561656183936144	25.571791656739016	12.0	12.0	7.0	10.0	9.0	10.0	NA	NA	NA	NA	NA	NA	-0.7129225319064716	0.3337928895001368	0.4402921197689171
GO:0009507	chloroplast	cellular_component	22.61302785846947	24.04769562141855	22.88120681857448	24.07061007916937	22.811892410689765	24.823233966750266	21.98691232370601	22.170229972678776	3.0	3.0	3.0	3.0	2.0	2.0	NA	NA	NA	NA	NA	NA	-1.4346677629490827	0.25045853190960404	0.35467231185360015
GO:0009605	response to external stimulus	biological_process	24.355961191398965	24.15290552374189	24.02915979676137	23.84122979771688	24.660027767509572	24.41524330867012	24.309156676539306	24.14549114019323	8.0	7.0	8.0	9.0	9.0	7.0	2.0	2.0	2.0	2.0	2.0	2.0	0.2030556676570754	0.4653081026615307	0.5698405392435446
GO:0009628	response to abiotic stimulus	biological_process	24.594443321652225	23.625786422039155	23.367212315374196	23.13492014458557	24.252041451126786	22.30835242507831	25.429669255729	24.541998842666587	3.0	4.0	4.0	4.0	3.0	4.0	2.0	2.0	2.0	2.0	2.0	2.0	0.9686568996130696	0.3124517167001355	0.4211246276032047
GO:0009889	regulation of biosynthetic process	biological_process	26.56685050337501	28.446655671890248	26.94130651211573	28.93028127045888	26.283942788242694	28.637509603692546	26.38523740556432	27.32732614735829	67.0	83.0	99.0	105.0	81.0	79.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.8798051685152366	0.029882689752253482	0.06742760764611042
GO:0009891	positive regulation of biosynthetic process	biological_process	22.53309174849453	24.486033213667856	22.444168793431587	24.51531017687623	22.908598597678232	25.26775093829184	22.141863803795147	22.544407232446552	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.9529414651733248	0.12827590880633447	0.20849065916807924
GO:0009892	negative regulation of metabolic process	biological_process	25.137719329123968	27.69571860919345	25.547120139836288	28.454326448492928	22.980588019578285	27.42030366734623	25.67144639944405	26.64261444391045	27.0	12.0	25.0	26.0	26.0	12.0	4.0	4.0	4.0	4.0	4.0	4.0	-2.557999280069481	0.053366335197363945	0.1027301952549256
GO:0009893	positive regulation of metabolic process	biological_process	26.682694008750747	27.084087120524348	26.71678581763977	27.045495674410176	26.667192236513273	27.650267145126925	26.663487709616014	26.21052325488273	35.0	35.0	23.0	23.0	29.0	29.0	7.0	7.0	7.0	7.0	7.0	7.0	-0.4013931117736007	0.5308102256244522	0.6317109226330804
GO:0009986	cell surface	cellular_component	26.556641572184805	28.307602158314953	26.02201096991569	28.127937851174693	26.582692333772894	28.678353274480443	26.92562616924193	28.028433496245466	8.0	7.0	9.0	9.0	9.0	7.0	NA	NA	NA	NA	NA	NA	-1.750960586130148	0.0059809895562542344	0.027472479976469594
GO:0009987	cellular process	biological_process	35.9449791485623	37.49005568359238	35.74669045400397	37.354062408315905	35.72732199322332	37.783700535859474	36.28805190153931	37.27953263324051	15398.0	18815.0	20156.0	21994.0	20942.0	18009.0	18.0	15.0	20.0	21.0	21.0	19.0	-1.5450765350300841	0.0030290571321527292	0.022983633806058907
GO:0009991	response to extracellular stimulus	biological_process	23.46540943614387	23.33807977052053	23.06221047758025	23.132615867803203	23.794779417303896	23.612726925314675	23.447051301081853	23.22254802453896	5.0	5.0	5.0	6.0	6.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	0.12732966562333914	0.6862699979878559	0.774253331063222
GO:0010033	response to organic substance	biological_process	21.245342842578246	22.035728525002128	21.794941375155425	22.247220765025244	20.91830180984336	21.23819953764093	20.80928555439409	22.376895698349024	10.0	10.0	10.0	10.0	10.0	10.0	5.0	5.0	5.0	5.0	5.0	5.0	-0.7903856824238815	0.17687135089994974	0.26647817953960573
